latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
3.53388,113.3425,328.17,0.39,0.36,2021-01-01,0547,N,VIIRS,n,2,293.59,2.43,D,2
4.48766,114.03886,334.15,0.39,0.36,2021-01-01,0547,N,VIIRS,n,2,294.02,5.39,D,0
3.27645,113.07344,329.95,0.39,0.36,2021-01-01,0547,N,VIIRS,n,2,291.5,2.56,D,2
3.53572,113.34405,304.43,0.4,0.37,2021-01-03,1748,N,VIIRS,n,2,284.02,0.97,N,2
3.52329,113.31293,311.71,0.4,0.37,2021-01-03,1748,N,VIIRS,n,2,287.28,1.3,N,2
3.54471,113.35273,314.59,0.4,0.37,2021-01-03,1748,N,VIIRS,n,2,282.15,1.64,N,2
3.52483,113.3136,331.53,0.44,0.46,2021-01-05,0612,N,VIIRS,n,2,294.09,4.89,D,2
3.36765,101.57781,328.31,0.45,0.47,2021-01-05,0612,N,VIIRS,n,2,295.65,2.43,D,0
3.36829,101.58186,327.09,0.45,0.47,2021-01-05,0612,N,VIIRS,n,2,295.28,2.43,D,0
3.28326,113.0834,327.95,0.39,0.36,2021-01-06,0553,N,VIIRS,n,2,281.36,3.79,D,2
3.27834,113.0734,336.26,0.39,0.36,2021-01-06,0553,N,VIIRS,n,2,283.87,3.7,D,2
3.28661,113.08292,328.45,0.39,0.36,2021-01-06,0553,N,VIIRS,n,2,280.89,3.14,D,2
3.52351,113.3137,305.7,0.41,0.61,2021-01-06,1832,N,VIIRS,n,2,271.48,1.25,N,2
3.52368,113.31395,318.46,0.38,0.36,2021-01-08,1754,N,VIIRS,n,2,290.9,1.83,N,2
3.53592,113.34418,311.7,0.38,0.36,2021-01-08,1754,N,VIIRS,n,2,288.92,1.7,N,2
3.54479,113.35265,320.03,0.38,0.36,2021-01-08,1754,N,VIIRS,n,2,287.79,1.72,N,2
3.53499,113.34378,298.22,0.54,0.42,2021-01-09,1735,N,VIIRS,n,2,268.45,0.82,N,2
3.52388,113.31211,297.52,0.54,0.42,2021-01-09,1735,N,VIIRS,n,2,271.44,1.23,N,2
3.28258,113.08401,297.68,0.56,0.43,2021-01-09,1736,N,VIIRS,n,2,266.18,1.65,N,2
3.28974,113.09019,301.64,0.56,0.43,2021-01-09,1736,N,VIIRS,n,2,267.58,1.21,N,2
3.2776,113.07108,305.34,0.56,0.43,2021-01-09,1736,N,VIIRS,n,2,267.01,1.24,N,2
3.28395,113.08222,296.98,0.56,0.43,2021-01-09,1736,N,VIIRS,n,2,266.31,0.81,N,2
3.27617,113.07278,306.37,0.56,0.43,2021-01-09,1736,N,VIIRS,n,2,268.33,1.28,N,2
3.27999,113.08169,296.85,0.56,0.43,2021-01-09,1736,N,VIIRS,n,2,266.72,0.81,N,2
3.28846,113.09148,306.13,0.49,0.48,2021-01-12,1819,N,VIIRS,n,2,284.73,1.48,N,2
3.29036,113.09416,303.85,0.49,0.48,2021-01-12,1819,N,VIIRS,n,2,284.73,1.97,N,2
6.16715,100.57405,297.16,0.53,0.67,2021-01-13,1800,N,VIIRS,n,2,274.86,0.33,N,0
2.26432,102.12597,299.44,0.36,0.57,2021-01-13,1801,N,VIIRS,n,2,263.24,0.51,N,2
2.74048,102.39574,297.4,0.35,0.57,2021-01-13,1801,N,VIIRS,n,2,275.76,1.24,N,2
2.73669,102.3923,297.2,0.35,0.57,2021-01-13,1801,N,VIIRS,n,2,274.64,1.32,N,2
2.966,101.90134,330.89,0.58,0.7,2021-01-17,0547,N,VIIRS,n,2,284.19,5.07,D,0
5.71974,100.44122,311.42,0.4,0.44,2021-01-17,1826,N,VIIRS,n,2,288.37,0.84,N,0
4.57599,103.45042,317.43,0.41,0.37,2021-01-17,1826,N,VIIRS,n,2,283.69,2.65,N,2
4.55372,103.45837,329.91,0.41,0.37,2021-01-17,1826,N,VIIRS,n,2,282.34,2.52,N,0
4.55714,103.4589,325.79,0.41,0.37,2021-01-17,1826,N,VIIRS,n,2,281.39,1,N,2
3.88322,101.32999,308,0.34,0.56,2021-01-18,1807,N,VIIRS,n,2,275.39,1.01,N,0
4.52412,101.07734,299.74,0.36,0.57,2021-01-18,1807,N,VIIRS,n,2,282.87,0.21,N,0
4.55841,103.45727,296.05,0.52,0.67,2021-01-19,1748,N,VIIRS,n,2,257.62,1.12,N,0
3.23167,102.51073,329.03,0.38,0.36,2021-01-20,0631,N,VIIRS,n,2,293.54,2.34,D,0
5.66429,100.77808,329.87,0.4,0.37,2021-01-20,0632,N,VIIRS,n,2,293.4,1.76,D,0
5.73647,100.56642,327.33,0.4,0.37,2021-01-20,0632,N,VIIRS,n,2,295.91,4.24,D,0
4.55419,103.45561,299.1,0.37,0.58,2021-01-20,1910,N,VIIRS,n,2,263.2,0.45,N,2
