latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
1.30978,103.68585,306.38,0.42,0.46,2019-02-14,1808,N,VIIRS,n,2,291.28,1.5,N,2
1.30713,103.68486,312.69,0.35,0.57,2019-02-20,1756,N,VIIRS,n,2,289.67,1.56,N,2
1.30657,103.68777,340.72,0.42,0.38,2019-02-21,0637,N,VIIRS,n,2,301.36,5.27,D,2
1.30873,103.6838,306.72,0.73,0.76,2019-02-21,1737,N,VIIRS,n,2,285.32,1.9,N,2
1.30742,103.69044,301.02,0.57,0.69,2019-02-21,1917,N,VIIRS,n,2,279.94,0.92,N,2
1.30851,103.68881,304.94,0.57,0.69,2019-02-21,1917,N,VIIRS,n,2,280.23,1.34,N,2
1.30602,103.68797,313.79,0.54,0.51,2019-02-22,1858,N,VIIRS,n,2,292.37,2.35,N,2
1.30771,103.68819,297.43,0.43,0.38,2019-02-23,1840,N,VIIRS,n,2,272.45,0.59,N,2
1.30543,103.6848,307.91,0.43,0.38,2019-02-24,1821,N,VIIRS,n,2,291.95,1.4,N,0
1.30839,103.68616,307.47,0.54,0.51,2019-02-25,1802,N,VIIRS,n,2,291.21,1.39,N,2
1.30677,103.68381,312.72,0.54,0.51,2019-02-25,1802,N,VIIRS,n,2,290.95,1.61,N,2
1.3084,103.68945,304.66,0.44,0.62,2019-04-05,1911,N,VIIRS,n,2,289.53,1.16,N,0
1.30581,103.68816,312.53,0.42,0.45,2019-04-06,1852,N,VIIRS,n,2,293.35,1.58,N,0
1.3064,103.68584,313.86,0.39,0.36,2019-04-07,1833,N,VIIRS,n,2,295.49,0.92,N,2
1.30525,103.68452,300.3,0.35,0.57,2019-04-09,1755,N,VIIRS,n,2,271.89,1.17,N,0
1.30588,103.68831,331.52,0.49,0.4,2019-04-15,0643,N,VIIRS,n,2,294.67,4.53,D,0
1.30784,103.68254,316.6,0.58,0.7,2019-04-15,1743,N,VIIRS,n,2,287.51,5.17,N,0
1.30922,103.68601,306.05,0.35,0.57,2019-05-11,1756,N,VIIRS,n,2,290.17,1.5,N,2
1.31023,103.70061,304.77,0.34,0.56,2019-05-18,1905,N,VIIRS,n,2,287.18,0.8,N,0
1.30779,103.68612,305.58,0.35,0.57,2019-05-27,1756,N,VIIRS,n,2,289.42,2.29,N,2
1.30767,103.6888,307.33,0.44,0.63,2019-07-10,1911,N,VIIRS,n,2,291.01,2.25,N,0
1.31004,103.70249,311.44,0.51,0.41,2019-08-23,1846,N,VIIRS,n,2,294.84,1.7,N,0
1.30853,103.68595,309.58,0.39,0.36,2019-09-09,1827,N,VIIRS,n,2,297.38,2.69,N,2
1.30926,103.6863,307.57,0.5,0.41,2019-09-24,1846,N,VIIRS,n,2,292.72,3.38,N,2
1.30633,103.68636,311.55,0.39,0.36,2019-10-11,1827,N,VIIRS,n,2,287.53,1.85,N,2
1.30669,103.68611,310.69,0.39,0.36,2019-12-19,1833,N,VIIRS,n,2,286.4,1.61,N,2
