latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
5.66898,116.49971,336.15,0.6,0.53,2016-01-01,0506,N,VIIRS,n,2,294.22,9.77,D,0
5.52174,115.65092,326.96,0.34,0.56,2016-01-01,0506,N,VIIRS,n,2,293.64,2.19,D,0
5.88796,117.88132,326.73,0.48,0.48,2016-01-01,0506,N,VIIRS,n,2,295.79,4.45,D,0
5.38888,115.50159,343.52,0.35,0.57,2016-01-01,0506,N,VIIRS,n,2,292.23,4.61,D,0
3.28559,113.08502,329.31,0.56,0.69,2016-01-01,0506,N,VIIRS,n,2,290.46,8.42,D,2
5.38942,115.50481,330.96,0.35,0.57,2016-01-01,0506,N,VIIRS,n,2,293.75,5.42,D,0
3.98542,103.37049,330.05,0.51,0.41,2016-01-01,0646,N,VIIRS,n,2,295.19,4.56,D,2
3.97466,103.37679,332.86,0.51,0.41,2016-01-01,0646,N,VIIRS,n,2,293.86,3.73,D,2
3.9714,103.37489,336.5,0.51,0.41,2016-01-01,0646,N,VIIRS,n,2,294.82,3.57,D,2
2.27827,112.01842,325.78,0.6,0.71,2016-01-01,0646,N,VIIRS,n,2,289.23,3.41,D,0
6.20427,100.44498,332.7,0.4,0.37,2016-01-01,0647,N,VIIRS,n,2,295.49,2.65,D,0
4.75372,117.8533,304.25,0.4,0.37,2016-01-01,1744,N,VIIRS,n,2,288.96,0.52,N,0
3.29143,113.08884,304.06,0.45,0.39,2016-01-01,1744,N,VIIRS,n,2,290.13,1.99,N,2
2.26905,102.12288,300.69,0.75,0.77,2016-01-01,1745,N,VIIRS,n,2,266.69,2.19,N,0
3.97587,103.37524,316.38,0.63,0.72,2016-01-01,1925,N,VIIRS,n,2,281.03,0.9,N,0
3.96924,103.37409,297.1,0.63,0.72,2016-01-01,1925,N,VIIRS,n,2,279.82,0.9,N,0
3.9718,103.37423,323.37,0.63,0.72,2016-01-01,1925,N,VIIRS,n,2,280.41,3.63,N,2
3.10583,114.6507,328.29,0.45,0.63,2016-01-02,0627,N,VIIRS,n,2,292,5.33,D,0
3.10656,114.65554,351.63,0.45,0.63,2016-01-02,0627,N,VIIRS,n,2,292.77,5.33,D,0
3.10922,114.63362,345.86,0.45,0.63,2016-01-02,0627,N,VIIRS,n,2,292.08,7.2,D,0
3.10606,114.65564,351.72,0.45,0.63,2016-01-02,0627,N,VIIRS,n,2,292.67,10.26,D,0
3.10886,114.63358,346.11,0.45,0.63,2016-01-02,0627,N,VIIRS,n,2,291.84,6.05,D,0
3.28763,113.08778,328.5,0.35,0.57,2016-01-02,0627,N,VIIRS,n,2,289.26,2.98,D,2
3.54602,113.57744,346.81,0.38,0.59,2016-01-02,0627,N,VIIRS,n,2,290.44,4.27,D,0
3.54551,113.57395,335.47,0.38,0.59,2016-01-02,0627,N,VIIRS,n,2,290.48,4.27,D,0
3.61594,113.43768,332.51,0.38,0.58,2016-01-02,0627,N,VIIRS,n,2,285.04,2.91,D,0
3.9442,113.7748,367,0.4,0.6,2016-01-02,0627,N,VIIRS,h,2,293.43,10.68,D,0
4.23599,114.04871,335.83,0.42,0.61,2016-01-02,0627,N,VIIRS,n,2,292.96,3.6,D,0
5.09652,116.21736,343.6,0.61,0.71,2016-01-02,0627,N,VIIRS,n,2,289.7,6.05,D,0
5.09421,116.21948,334.03,0.61,0.71,2016-01-02,0627,N,VIIRS,n,2,289.59,8.55,D,0
5.93208,117.44506,328.52,0.75,0.77,2016-01-02,0628,N,VIIRS,n,2,284.28,6.2,D,0
6.35839,100.46682,345.89,0.46,0.39,2016-01-02,0628,N,VIIRS,n,2,297.74,11.02,D,0
4.92666,101.25284,306.34,0.42,0.45,2016-01-02,1906,N,VIIRS,n,2,289.44,0.69,N,0
3.43806,102.26273,302.65,0.51,0.49,2016-01-02,1906,N,VIIRS,n,2,288.71,3.02,N,0
3.43349,102.26206,335.09,0.51,0.49,2016-01-02,1906,N,VIIRS,n,2,288.87,3.02,N,0
2.26551,102.12899,306.5,0.52,0.5,2016-01-02,1907,N,VIIRS,n,2,270.92,1.44,N,2
4.38576,117.5401,328.06,0.35,0.57,2016-01-03,0608,N,VIIRS,n,2,291.75,1.77,D,0
6.20933,116.77145,347.79,0.33,0.55,2016-01-03,0609,N,VIIRS,n,2,293.99,4.38,D,0
5.15561,100.97096,341.16,0.58,0.52,2016-01-03,0609,N,VIIRS,n,2,294.25,7.37,D,0
4.56448,103.4496,305.05,0.45,0.39,2016-01-03,1847,N,VIIRS,n,2,290.14,1.81,N,2
4.55601,103.45661,304.16,0.45,0.39,2016-01-03,1847,N,VIIRS,n,2,285.73,1.44,N,2
4.28742,101.98572,319.15,0.4,0.37,2016-01-03,1847,N,VIIRS,n,2,291.51,1.45,N,0
3.94541,102.68827,311.78,0.43,0.38,2016-01-03,1847,N,VIIRS,n,2,285.29,1.8,N,0
2.88679,101.6512,305.13,0.4,0.37,2016-01-03,1848,N,VIIRS,n,2,291.41,0.5,N,0
2.73755,102.39227,308.14,0.43,0.38,2016-01-03,1848,N,VIIRS,n,2,291.7,1.34,N,2
2.26667,102.12649,306.35,0.42,0.38,2016-01-03,1848,N,VIIRS,n,2,276.99,0.98,N,2
2.26321,102.12597,305.72,0.42,0.38,2016-01-03,1848,N,VIIRS,n,2,276.83,1.4,N,2
