latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
3.28056,113.08199,298.33,0.55,0.43,2018-01-01,1736,N,VIIRS,n,2,279.86,1.82,N,2
3.28344,113.08406,296.83,0.55,0.43,2018-01-01,1736,N,VIIRS,n,2,279.69,1.87,N,2
2.01092,102.67815,302.59,0.45,0.47,2018-01-02,1858,N,VIIRS,n,2,284.79,1.2,N,0
5.01053,115.49866,314.4,0.34,0.56,2018-01-04,1819,N,VIIRS,n,2,287.39,2.2,N,0
5.01567,115.49953,338.95,0.34,0.56,2018-01-04,1819,N,VIIRS,n,2,288.44,2.2,N,2
5.01241,115.49943,344.87,0.34,0.56,2018-01-04,1819,N,VIIRS,n,2,287.95,3.84,N,2
4.57612,103.44794,311.37,0.47,0.4,2018-01-04,1820,N,VIIRS,n,2,284.1,1.64,N,2
4.55627,103.46071,304.51,0.63,0.54,2018-01-05,1801,N,VIIRS,n,2,285.4,2.05,N,0
4.55595,103.4618,311.41,0.63,0.54,2018-01-05,1801,N,VIIRS,n,2,285.45,2.44,N,0
4.66037,103.37873,302.3,0.32,0.54,2018-01-05,1801,N,VIIRS,n,2,283.97,1.14,N,2
4.66251,103.36428,343.15,0.32,0.55,2018-01-05,1801,N,VIIRS,n,2,282.28,3.15,N,2
5.68123,100.83554,340.3,0.41,0.37,2018-01-06,0645,N,VIIRS,n,2,276.77,4.51,D,0
6.58955,100.28563,342.93,0.4,0.37,2018-01-06,0645,N,VIIRS,n,2,288.26,5.27,D,0
6.59009,100.28928,328.07,0.4,0.37,2018-01-06,0645,N,VIIRS,n,2,288.28,3.91,D,0
3.19371,101.57585,328.09,0.44,0.39,2018-01-07,0625,N,VIIRS,n,2,296.39,3.22,D,0
3.10544,101.40451,330.18,0.45,0.39,2018-01-07,0625,N,VIIRS,n,2,296.89,4.54,D,0
3.19017,101.57638,327.66,0.44,0.39,2018-01-07,0625,N,VIIRS,n,2,295.6,5.09,D,0
3.31447,101.5911,327.18,0.44,0.38,2018-01-07,0626,N,VIIRS,l,2,300.9,4.17,D,0
3.58349,102.23627,333.47,0.41,0.37,2018-01-07,0626,N,VIIRS,n,2,295.8,4.77,D,0
6.27571,100.54454,333.11,0.46,0.39,2018-01-07,0626,N,VIIRS,n,2,286.66,2.86,D,0
5.0137,115.49881,321.65,0.43,0.46,2018-01-07,1723,N,VIIRS,n,2,291.19,2.88,N,2
