latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
1.30893,103.68572,305.44,0.42,0.45,2021-01-05,1852,N,VIIRS,n,2,290.86,1.54,N,0
1.30949,103.68529,305.61,0.34,0.56,2021-02-16,1904,N,VIIRS,n,2,294.11,1.27,N,0
1.30894,103.68511,305.7,0.34,0.56,2021-02-16,1904,N,VIIRS,n,2,293.81,1.2,N,2
1.30856,103.68648,306.99,0.43,0.38,2021-03-17,1820,N,VIIRS,n,2,291.25,1.91,N,2
1.30942,103.68572,307.26,0.41,0.45,2021-04-11,1852,N,VIIRS,n,2,293.4,2.19,N,0
1.30521,103.68494,300.5,0.52,0.42,2021-04-29,1814,N,VIIRS,n,2,272.59,0.68,N,0
1.30909,103.6867,306.1,0.34,0.56,2021-06-08,1904,N,VIIRS,n,2,288.77,1.32,N,0
1.30932,103.68563,306.34,0.43,0.38,2021-08-24,1821,N,VIIRS,n,2,292.61,1.39,N,0
1.30776,103.68627,306.26,0.51,0.41,2021-09-04,1815,N,VIIRS,n,2,291.01,1.95,N,2
1.27817,103.82645,335.35,0.43,0.38,2021-10-09,0619,N,VIIRS,l,2,297.93,4.84,D,0
1.32364,103.77213,335.42,0.43,0.38,2021-10-09,0619,N,VIIRS,l,2,297.48,3.19,D,0
1.37862,103.94064,347.08,0.42,0.38,2021-10-09,0619,N,VIIRS,l,2,299.57,11.36,D,0
