latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
1.30645,103.68539,330.71,0.53,0.42,2016-01-24,0614,N,VIIRS,n,2,295.63,5.45,D,2
1.30491,103.68874,302.87,0.56,0.69,2016-01-28,1919,N,VIIRS,n,2,282.41,1.3,N,2
1.33594,103.86011,301.92,0.58,0.7,2016-01-28,1919,N,VIIRS,n,2,274.28,0.5,N,0
1.30884,103.68548,307.5,0.43,0.46,2016-03-09,1809,N,VIIRS,n,2,292.99,1.32,N,2
1.30856,103.68596,304.14,0.46,0.63,2016-03-10,1750,N,VIIRS,n,2,287.61,1.06,N,2
1.30933,103.68568,304.26,0.43,0.62,2016-03-11,1912,N,VIIRS,n,2,288.46,1.11,N,2
1.31139,103.70386,305.87,0.39,0.36,2016-03-13,1834,N,VIIRS,n,2,290.35,1.07,N,0
1.30922,103.68678,308.21,0.41,0.45,2016-03-28,1853,N,VIIRS,n,2,293.43,2.08,N,2
1.30627,103.68633,308.48,0.5,0.41,2016-04-08,1847,N,VIIRS,n,2,289.46,3.22,N,2
1.30834,103.68516,308.37,0.39,0.36,2016-04-09,1828,N,VIIRS,n,2,294.41,1.84,N,2
1.30806,103.68548,304.43,0.45,0.63,2016-04-27,1750,N,VIIRS,n,2,285.75,1.19,N,2
1.30943,103.68482,307.37,0.35,0.57,2016-07-05,1757,N,VIIRS,n,2,293.56,0.99,N,0
1.31009,103.68527,304.41,0.35,0.57,2016-07-21,1756,N,VIIRS,n,2,289.19,1.04,N,0
1.30957,103.68547,306.26,0.34,0.56,2016-07-28,1905,N,VIIRS,n,2,290.76,1.39,N,0
1.30901,103.68523,306.45,0.34,0.56,2016-07-28,1906,N,VIIRS,n,2,290.8,1.35,N,2
1.30861,103.68623,304.41,0.45,0.63,2016-08-17,1750,N,VIIRS,n,2,288.69,1.88,N,2
1.30861,103.68542,305.63,0.43,0.62,2016-09-03,1911,N,VIIRS,n,2,289.23,2.2,N,2
1.30954,103.68575,306.6,0.36,0.57,2016-09-23,1756,N,VIIRS,n,2,289.78,1.64,N,0
1.30907,103.68529,305.06,0.35,0.56,2016-11-17,1905,N,VIIRS,n,2,288.25,1.19,N,2
1.30886,103.68565,305.88,0.39,0.36,2016-11-19,1828,N,VIIRS,n,2,288.72,1.14,N,2
